,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
30,-8.330474e-39,-4.8258724e-38,2.0243029e-38,-7.3187543e-38,5.834945e-38,-5.20887e-38,4.5791197e-38,6.909525e-39,-8.361746e-38,5.163823e-38,5.604539e-38,-5.3798426e-38,-4.6408102e-38,7.977661e-38,-2.5520705e-38,1.4382214e-38,-2.5998044e-38,9.692714e-38,6.669958e-39,2.9172826e-38
31,-0.011555968,1.0013457e-37,0.32992458,-0.086311504,0.42904162,-4.728573e-38,0.22044216,2.4878922e-38,0.34441683,-8.2641437e-38,-4.1775474e-16,-0.03035887,3.1307754e-38,9.381738e-39,-0.31736243,9.484126e-38,0.4379619,-0.16988061,-0.07356267,0.44500834
32,-0.00023760943,-2.4863536e-38,-0.8879146,0.14248261,1.1382109,7.283729e-38,1.9322484,5.756432e-39,-0.22406964,1.6329582e-38,-0.0007468256,9.12603e-06,-8.6388156e-38,-2.3876584e-38,1.6258878,8.4989183e-38,-0.9448457,0.5052446,-1.9177798,1.2218641
33,-0.102929,6.9605847e-38,-0.006380838,-3.2561216e-38,-6.561993e-39,-8.779702e-38,0.0374953,-8.283938e-38,-0.0076527917,5.230602e-38,0.0276309,-2.1874444e-38,7.842829e-38,-5.029106e-38,-0.123874284,6.553984e-38,-0.11677247,-0.007995045,0.077071324,0.0012566643
34,-0.033836626,9.428263e-38,0.44181776,-0.06871983,0.094250284,-2.2453164e-38,0.0117179,-7.754951e-38,0.39722446,-8.1219506e-38,-6.538191e-07,-0.030097827,-6.915889e-38,4.503548e-38,-0.59954727,4.020485e-39,0.41989362,-0.33547756,0.32985905,-0.24054112
35,-0.0057339696,3.021963e-38,0.45420018,-0.06467488,-0.045220695,-8.952344e-38,-0.092031226,5.466488e-39,0.37034708,6.981912e-38,-0.015104527,-0.029251704,7.442254e-38,5.8717304e-38,-0.320299,7.949161e-38,0.45047373,-0.4564034,0.2268737,0.1100808
36,-0.015695924,-9.408943e-39,0.004830302,-7.9649883e-38,-1.2806066e-38,5.1236707e-38,0.015842278,-7.1805123e-38,-6.0357932e-05,-3.0092907e-38,-0.020264816,4.2126025e-38,-2.2271368e-38,6.0260907e-38,-0.043228675,5.725531e-38,-0.036028773,-0.013895817,0.0009476102,-5.882013e-06
37,1.3381974e-38,-4.4348753e-38,9.2063017e-38,8.5488404e-38,-8.447527e-38,-7.3640986e-38,1.1435302e-38,7.6523306e-38,7.625365e-38,-1.9380909e-38,8.975144e-38,-8.735644e-38,-3.559168e-38,-4.647492e-38,-5.8540633e-38,-6.980324e-38,-4.6388086e-38,-1.1305938e-38,4.067869e-39,-2.6514546e-38
38,-0.04361979,-3.981837e-38,0.11080467,-0.087079205,-0.03602897,-9.4013293e-38,0.035081126,-2.9664656e-38,0.49684548,9.411614e-38,0.065225035,-0.02723015,2.2058401e-38,-8.257473e-38,-0.3420577,5.842063e-38,0.30954853,-0.50493383,0.30734378,-0.16593109
39,0.060450356,9.831273e-38,-0.70685434,0.016824394,1.0325825,-8.528892e-38,1.1672962,4.327353e-38,-0.040859662,-9.187941e-38,-0.033360366,-0.0028075876,8.709925e-39,2.3947798e-38,0.73267764,1.2049457e-38,-0.7738199,-0.17161782,-0.7159357,1.0976843
